impedance,present_position,angle
18.91438,2425,213.1592554
18.22524,2429,213.5108583
18.22524,2433,213.8624612
18.91438,2438,214.3019648
18.5832,2443,214.7414685
19.22978,2448,215.1809721
18.91438,2453,215.6204757
18.5832,2459,216.14788
18.22524,2464,216.5873837
19.65169,2468,216.9389866
19.22978,2473,217.3784902
18.91438,2478,217.8179938
18.91438,2483,218.2574974
18.22524,2488,218.697001
18.5832,2493,219.1365047
18.91438,2497,219.4881075
18.91438,2503,220.0155119
18.5832,2508,220.4550155
19.65169,2513,220.8945191
18.91438,2518,221.3340228
18.5832,2523,221.7735264
18.91438,2527,222.1251293
18.91438,2532,222.5646329
18.5832,2537,223.0041365
18.91438,2542,223.4436401
18.91438,2546,223.795243
18.91438,2551,224.2347466
18.22524,2556,224.6742503
18.91438,2561,225.1137539
19.65169,2566,225.5532575
18.5832,2571,225.9927611
18.91438,2576,226.4322647
18.91438,2582,226.9596691
18.91438,2586,227.311272
18.91438,2591,227.7507756
18.91438,2594,228.0144778
19.65169,2600,228.5418821
18.91438,2605,228.9813857
18.5832,2609,229.3329886
19.65169,2614,229.7724922
18.91438,2618,230.1240951
18.91438,2624,230.6514995
19.65169,2628,231.0031024
19.22978,2634,231.5305067
19.28102,2639,231.9700103
18.91438,2643,232.3216132
18.91438,2648,232.7611169
19.65169,2652,233.1127198
18.91438,2659,233.7280248
19.65169,2664,234.1675284
20.00614,2668,234.5191313
19.65169,2672,234.8707342
19.65169,2678,235.3981386
18.91438,2684,235.9255429
18.91438,2688,236.2771458
18.91438,2692,236.6287487
19.22978,2699,237.2440538
18.91438,2703,237.5956567
18.91438,2708,238.0351603
18.91438,2713,238.4746639
18.91438,2717,238.8262668
18.5832,2722,239.2657704
18.91438,2726,239.6173733
18.91438,2731,240.0568769
18.91438,2735,240.4084798
19.65169,2741,240.9358842
18.91438,2746,241.3753878
18.91438,2751,241.8148914
19.65169,2756,242.254395
18.91438,2761,242.6938987
18.91438,2765,243.0455016
19.28102,2770,243.4850052
19.65169,2776,244.0124095
18.91438,2781,244.4519131
18.91438,2785,244.803516
18.91438,2790,245.2430196
18.91438,2794,245.5946225
19.28102,2800,246.1220269
19.22978,2804,246.4736298
18.91438,2808,246.8252327
19.65169,2813,247.2647363
19.65169,2819,247.7921406
18.91438,2824,248.2316443
18.91438,2829,248.6711479
18.91438,2834,249.1106515
19.65169,2839,249.5501551
18.91438,2843,249.901758
19.65169,2848,250.3412616
18.5832,2852,250.6928645
18.91438,2858,251.2202689
19.65169,2862,251.5718718
19.65169,2867,252.0113754
18.91438,2873,252.5387797
19.65169,2878,252.9782834
19.65169,2883,253.417787
18.91438,2888,253.8572906
18.91438,2893,254.2967942
18.91438,2898,254.7362978
19.65169,2902,255.0879007
18.91438,2907,255.5274043
19.65169,2912,255.966908
18.91438,2917,256.4064116
18.91438,2921,256.7580145
18.91438,2926,257.1975181
19.65169,2931,257.6370217
19.65169,2935,257.9886246
19.65169,2942,258.6039297
19.65169,2946,258.9555326
19.22978,2951,259.3950362
20.00614,2957,259.9224405
19.22978,2962,260.3619442
20.00614,2966,260.7135471
18.91438,2970,261.0651499
18.91438,2975,261.5046536
19.65169,2979,261.8562565
19.65169,2983,262.2078594
19.65169,2988,262.647363
19.65169,2993,263.0868666
19.65169,2998,263.5263702
18.91438,3003,263.9658738
20.00614,3008,264.4053775
18.91438,3014,264.9327818
19.65169,3018,265.2843847
19.65169,3023,265.7238883
19.65169,3028,266.1633919
20.00614,3032,266.5149948
19.65169,3038,267.0423992
19.65169,3043,267.4819028
19.65169,3054,268.4488108
18.91438,3059,268.8883144
19.65169,3062,269.1520165
19.65169,3067,269.5915202
20.44152,3071,269.9431231
19.65169,3074,270.2068252
19.65169,3078,270.5584281
19.65169,3083,270.9979317
18.91438,3087,271.3495346
19.65169,3092,271.7890383
19.65169,3097,272.2285419
18.91438,3102,272.6680455
19.65169,3105,272.9317477
19.65169,3110,273.3712513
19.65169,3116,273.8986556
19.65169,3120,274.2502585
19.65169,3126,274.7776629
19.65169,3131,275.2171665
20.00614,3136,275.6566701
18.91438,3140,276.008273
19.65169,3145,276.4477766
19.22978,3150,276.8872802
20.00614,3155,277.3267839
20.00614,3159,277.6783868
19.65169,3164,278.1178904
19.65169,3169,278.557394
19.65169,3174,278.9968976
19.65169,3179,279.4364012
18.91438,3184,279.8759049
20.00614,3189,280.3154085
18.91438,3194,280.7549121
19.65169,3199,281.1944157
19.65169,3203,281.5460186
19.65169,3208,281.9855222
19.65169,3214,282.5129266
19.65169,3218,282.8645295
20.00614,3223,283.3040331
19.65169,3227,283.655636
18.91438,3232,284.0951396
20.44152,3236,284.4467425
19.65169,3241,284.8862461
19.65169,3246,285.3257497
19.65169,3252,285.8531541
19.65169,3256,286.204757
20.00614,3261,286.6442606
19.65169,3265,286.9958635
20.00614,3271,287.5232678
