impedance,present_position,angle
240.93568,3067,269.5915202
234.71715,3087,271.3495346
240.93568,3106,273.0196484
252.18848,3123,274.5139607
252.18848,3142,276.1840745
225.5642,3159,277.6783868
225.5642,3181,279.6122027
252.18848,3196,280.9307135
252.18848,3214,282.5129266
240.93568,3233,284.1830403
252.18848,3251,285.7652534
225.5642,3268,287.2595657
225.5642,3289,289.1054809
240.93568,3307,290.6876939
252.18848,3325,292.2699069
252.18848,3342,293.7642192
225.5642,3362,295.5222337
252.18848,3379,297.016546
234.71715,3397,298.598759
240.93568,3420,300.6204757
225.5642,3436,302.0268873
240.93568,3452,303.4332989
240.93568,3474,305.3671148
252.18848,3490,306.7735264
252.18848,3508,308.3557394
252.18848,3532,310.4653568
240.93568,3547,311.7838676
240.93568,3563,313.1902792
257.94192,3589,315.475698
240.93568,3602,316.6184074
252.18848,3618,318.024819
271.89521,3646,320.4860393
229.65264,3658,321.540848
257.94192,3674,322.9472596
240.93568,3698,325.0568769
225.5642,3713,326.3753878
252.18848,3724,327.3422958
240.93568,3738,328.5729059
240.93568,3738,328.5729059
240.93568,3735,328.3092037
240.93568,3728,327.6938987
252.18848,3720,326.9906929
257.94192,3711,326.1995863
252.18848,3697,324.9689762
240.93568,3681,323.5625646
240.93568,3660,321.7166494
240.93568,3644,320.3102378
252.18848,3627,318.8159255
240.93568,3607,317.0579111
240.93568,3590,315.5635988
240.93568,3573,314.0692865
240.93568,3552,312.2233713
257.94192,3534,310.6411582
252.18848,3516,309.0589452
257.94192,3500,307.6525336
240.93568,3479,305.8066184
257.94192,3462,304.3123061
252.18848,3444,302.7300931
252.18848,3423,300.8841779
271.89521,3406,299.3898656
229.65264,3389,297.8955533
252.18848,3367,295.9617373
225.5642,3352,294.6432265
252.18848,3334,293.0610134
240.93568,3312,291.1271975
225.5642,3295,289.6328852
252.18848,3278,288.1385729
257.94192,3254,286.0289555
225.5642,3238,284.622544
240.93568,3224,283.3919338
234.71715,3200,281.2823164
225.5642,3185,279.9638056
216.22615,3167,278.3815926
240.93568,3146,276.5356774
234.71715,3130,275.1292658
234.71715,3113,273.6349535
240.93568,3094,271.9648397
252.18848,3072,270.0310238
225.5642,3058,268.8004137
234.71715,3038,267.0423992
252.18848,3017,265.196484
225.5642,3001,263.7900724
234.71715,2981,262.0320579
225.5642,2960,260.1861427
219.2089,2947,259.0434333
252.18848,2927,257.2854188
240.93568,2910,255.7911065
240.93568,2889,253.9451913
225.5642,2873,252.5387797
252.18848,2856,251.0444674
225.5642,2834,249.1106515
234.71715,2817,247.6163392
252.18848,2799,246.0341262
252.18848,2779,244.2761117
252.18848,2763,242.8697001
240.93568,2745,241.2874871
240.93568,2728,239.7931748
252.18848,2708,238.0351603
252.18848,2691,236.540848
211.69764,2674,235.0465357
211.69764,2652,233.1127198
252.18848,2634,231.5305067
234.71715,2615,229.860393
240.93568,2592,227.8386763
240.93568,2576,226.4322647
225.5642,2562,225.2016546
216.22615,2537,223.0041365
234.71715,2523,221.7735264
240.93568,2510,220.630817
225.5642,2484,218.3453981
252.18848,2470,217.114788
225.5642,2451,215.4446743
225.5642,2430,213.598759
234.71715,2417,212.4560496
225.5642,2409,211.7528438
234.71715,2392,210.2585315
225.5642,2393,210.3464323
240.93568,2397,210.6980352
225.5642,2403,211.2254395
225.5642,2410,211.8407446
234.71715,2420,212.7197518
211.69764,2430,213.598759
211.69764,2451,215.4446743
234.71715,2464,216.5873837
219.2089,2478,217.8179938
225.5642,2501,219.8397104
211.69764,2517,221.246122
219.2089,2531,222.4767322
225.5642,2556,224.6742503
225.5642,2571,225.9927611
234.71715,2587,227.3991727
252.18848,2602,228.7176836
225.5642,2626,230.8273009
234.71715,2640,232.0579111
225.5642,2661,233.9038263
225.5642,2681,235.6618407
225.5642,2696,236.9803516
225.5642,2714,238.5625646
225.5642,2735,240.4084798
225.5642,2751,241.8148914
240.93568,2769,243.3971044
252.18848,2786,244.8914168
225.5642,2806,246.6494312
225.5642,2826,248.4074457
225.5642,2840,249.6380558
234.71715,2864,251.7476732
240.93568,2881,253.2419855
234.71715,2897,254.6483971
225.5642,2922,256.8459152
240.93568,2935,257.9886246
234.71715,2956,259.8345398
225.5642,2976,261.5925543
225.5642,2989,262.7352637
240.93568,3006,264.229576
225.5642,3031,266.4270941
234.71715,3046,267.745605
240.93568,3066,269.5036194
234.71715,3086,271.2616339
234.71715,3104,272.8438469
252.18848,3117,273.9865564
240.93568,3138,275.8324716
240.93568,3158,277.590486
225.5642,3177,279.2605998
240.93568,3193,280.6670114
252.18848,3214,282.5129266
240.93568,3230,283.9193382
225.5642,3250,285.6773526
225.5642,3269,287.3474664
240.93568,3284,288.6659772
225.5642,3304,290.4239917
225.5642,3327,292.4457084
252.18848,3341,293.6763185
240.93568,3363,295.6101344
240.93568,3381,297.1923475
240.93568,3397,298.598759
225.5642,3419,300.532575
240.93568,3433,301.7631851
225.5642,3456,303.7849018
240.93568,3473,305.2792141
