impedance,present_position,angle
20.1212,3223,283.304
19.6492,3219,282.9524
20.1212,3214,282.5129
19.6492,3208,281.9855
20.1212,3204,281.6339
19.8775,3199,281.1944
19.8775,3194,280.7549
19.8775,3188,280.2275
19.6492,3183,279.788
19.6492,3178,279.3485
20.1212,3173,278.909
20.1212,3168,278.4695
19.6492,3163,278.03
20.1212,3158,277.5905
19.6492,3153,277.151
19.6492,3149,276.7994
19.6492,3144,276.3599
20.1212,3139,275.9204
20.1212,3134,275.4809
20.3665,3129,275.0414
19.6492,3123,274.514
19.6492,3118,274.0745
19.6492,3114,273.7229
20.1212,3108,273.1954
20.1212,3103,272.7559
20.1212,3098,272.3164
20.1212,3094,271.9648
20.3665,3089,271.5253
19.6492,3084,271.0858
19.6492,3078,270.5584
20.1212,3074,270.2068
20.3665,3069,269.7673
20.1212,3064,269.3278
19.6492,3059,268.8883
20.1212,3053,268.3609
20.1212,3049,268.0093
20.3665,3044,267.5698
20.1212,3038,267.0424
20.1212,3033,266.6029
20.1212,3029,266.2513
20.1212,3024,265.8118
20.1212,3019,265.3723
20.1212,3014,264.9328
20.1212,3009,264.4933
20.1212,3003,263.9659
20.1212,2998,263.5264
20.3665,2994,263.1748
20.3665,2989,262.7353
20.1212,2983,262.2079
20.1212,2978,261.7684
20.1212,2974,261.4168
20.3665,2969,260.9772
20.1212,2964,260.5377
20.1212,2959,260.0982
20.3665,2954,259.6587
20.1212,2948,259.1313
20.3665,2944,258.7797
20.1212,2939,258.3402
20.1212,2933,257.8128
20.1212,2928,257.3733
20.1212,2923,256.9338
20.1212,2918,256.4943
20.1212,2913,256.0548
20.1212,2909,255.7032
20.1212,2903,255.1758
20.1212,2899,254.8242
20.3665,2894,254.3847
20.1212,2889,253.9452
20.1212,2883,253.4178
20.3665,2878,252.9783
20.3665,2874,252.6267
20.1212,2869,252.1872
20.1212,2863,251.6598
20.1212,2859,251.3082
20.3665,2854,250.8687
20.3665,2849,250.4292
20.1212,2844,249.9897
20.3665,2839,249.5502
20.1212,2834,249.1107
20.3665,2829,248.6711
20.1212,2824,248.2316
20.1212,2818,247.7042
20.1212,2813,247.2647
20.1212,2809,246.9131
20.1212,2804,246.4736
20.1212,2798,245.9462
20.1212,2793,245.5067
20.6132,2789,245.1551
20.3665,2784,244.7156
20.1212,2779,244.2761
20.1212,2774,243.8366
20.1212,2769,243.3971
20.1212,2763,242.8697
20.1212,2759,242.5181
20.1212,2754,242.0786
20.1212,2749,241.6391
20.1212,2743,241.1117
20.1212,2739,240.7601
20.1212,2734,240.3206
20.6132,2727,239.7053
20.3665,2723,239.3537
20.3665,2719,239.0021
20.1212,2714,238.5626
20.1212,2709,238.1231
20.6132,2704,237.6836
20.6132,2699,237.2441
20.3665,2694,236.8046
20.3665,2689,236.365
20.1212,2683,235.8376
20.1212,2679,235.486
20.1212,2673,234.9586
20.3665,2669,234.607
20.1212,2664,234.1675
20.1212,2660,233.8159
20.6132,2654,233.2885
20.1212,2649,232.849
20.3665,2643,232.3216
20.6132,2638,231.8821
20.1212,2634,231.5305
20.3665,2629,231.091
20.3665,2623,230.5636
20.3665,2618,230.1241
20.1212,2614,229.7725
20.1212,2609,229.333
20.1212,2604,228.8935
20.6132,2599,228.454
20.8773,2593,227.9266
20.1212,2589,227.575
20.3665,2584,227.1355
20.3665,2579,226.696
20.6132,2574,226.2565
20.1212,2568,225.7291
20.6132,2564,225.3775
20.1212,2559,224.938
20.1212,2553,224.4105
20.8773,2549,224.0589
20.1212,2544,223.6194
20.8773,2539,223.1799
20.8773,2534,222.7404
20.1212,2529,222.3009
20.1212,2521,221.5977
20.6132,2517,221.2461
20.6132,2513,220.8945
20.1212,2508,220.455
20.8773,2503,220.0155
20.1212,2498,219.576
20.6132,2494,219.2244
20.6132,2489,218.7849
20.8773,2484,218.3454
20.8773,2479,217.9059
20.1212,2474,217.4664
20.8773,2468,216.939
20.8773,2464,216.5874
20.6132,2459,216.1479
20.8773,2454,215.7084
20.6132,2449,215.2689
20.6132,2444,214.8294
20.3665,2439,214.3899
20.6132,2434,213.9504
20.6132,2429,213.5109
20.6132,2424,213.0714
20.3665,2419,212.6319
20.6132,2414,212.1923
20.6132,2409,211.7528
20.6132,2404,211.3133
20.6132,2398,210.7859
20.6132,2393,210.3464
20.3952,2387,209.819
20.3952,2393,210.3464
20.6117,2397,210.698
20.3952,2403,211.2254
20.3952,2408,211.6649
20.3952,2412,212.0165
20.3952,2417,212.456
20.196,2427,213.3351
20.196,2432,213.7746
20.196,2437,214.2141
20.196,2442,214.6536
20.196,2447,215.0931
20.196,2452,215.5326
20.196,2457,215.9721
20.4104,2462,216.4116
20.196,2467,216.8511
20.196,2472,217.2906
20.196,2477,217.7301
20.196,2482,218.1696
20.196,2487,218.6091
20.196,2492,219.0486
20.4104,2497,219.4881
20.196,2503,220.0155
20.196,2507,220.3671
20.4104,2512,220.8066
20.196,2516,221.1582
20.196,2522,221.6856
20.196,2526,222.0372
20.196,2532,222.5646
20.4104,2537,223.0041
20.4104,2542,223.4436
20.196,2547,223.8831
20.196,2553,224.4105
20.196,2557,224.7622
20.196,2562,225.2017
20.196,2567,225.6412
19.8013,2572,226.0807
20.196,2577,226.5202
20.196,2582,226.9597
19.8013,2588,227.4871
19.8013,2592,227.8387
20.0033,2597,228.2782
20.196,2602,228.7177
20.196,2607,229.1572
19.8013,2612,229.5967
19.8013,2617,230.0362
20.196,2622,230.4757
20.196,2627,230.9152
20.0033,2632,231.3547
20.0033,2637,231.7942
19.8013,2642,232.2337
20.196,2647,232.6732
19.8013,2652,233.1127
19.8013,2657,233.5522
19.8013,2662,233.9917
19.8013,2667,234.4312
19.8013,2672,234.8707
19.8013,2677,235.3102
19.4197,2682,235.7497
19.8013,2687,236.1892
19.8013,2692,236.6287
19.8013,2696,236.9804
19.8013,2702,237.5078
19.8013,2707,237.9473
19.8013,2712,238.3868
19.4197,2718,238.9142
19.4197,2722,239.2658
19.8013,2727,239.7053
19.4197,2732,240.1448
19.4197,2737,240.5843
19.8013,2742,241.0238
19.8013,2747,241.4633
19.8013,2752,241.9028
19.4197,2757,242.3423
19.4197,2762,242.7818
19.8013,2767,243.2213
19.8013,2772,243.6608
19.4197,2777,244.1003
19.4197,2782,244.5398
19.4197,2787,244.9793
19.8013,2792,245.4188
19.4197,2797,245.8583
19.8013,2802,246.2978
19.8013,2807,246.7373
19.4197,2812,247.1768
19.8013,2816,247.5284
19.4197,2822,248.0558
19.4197,2827,248.4953
19.4197,2832,248.9349
19.4197,2837,249.3744
19.4197,2842,249.8139
19.4197,2847,250.2534
19.4197,2855,250.9566
19.8013,2859,251.3082
19.8013,2862,251.5719
19.4197,2867,252.0114
19.8013,2872,252.4509
20.0033,2876,252.8025
19.8013,2882,253.3299
19.8013,2887,253.7694
19.4197,2892,254.2089
19.4197,2897,254.6484
19.8013,2902,255.0879
19.4197,2907,255.5274
19.4197,2912,255.9669
19.2259,2917,256.4064
19.8013,2922,256.8459
19.8013,2927,257.2854
19.8013,2932,257.7249
19.8013,2937,258.1644
19.8013,2942,258.6039
19.4197,2947,259.0434
19.4197,2952,259.4829
19.4197,2957,259.9224
19.8013,2962,260.3619
19.8013,2967,260.8014
19.4197,2973,261.3289
19.4197,2977,261.6805
19.8013,2982,262.12
19.4197,2987,262.5595
19.4197,2992,262.999
19.4197,2997,263.4385
19.4197,3002,263.878
19.4197,3007,264.3175
19.4197,3012,264.757
19.4197,3017,265.1965
19.8013,3022,265.636
19.8013,3027,266.0755
19.8013,3032,266.515
19.8013,3037,266.9545
19.8013,3042,267.394
19.4197,3047,267.8335
19.4197,3052,268.273
19.8013,3056,268.6246
19.4197,3064,269.3278
19.4197,3068,269.6794
19.4197,3072,270.031
19.4197,3077,270.4705
19.4197,3082,270.91
19.8013,3087,271.3495
19.8013,3092,271.789
19.4197,3097,272.2285
19.4197,3102,272.668
19.8013,3107,273.1075
19.8013,3112,273.5471
19.4197,3117,273.9866
19.4197,3122,274.4261
19.8013,3127,274.8656
19.8013,3132,275.3051
19.8013,3137,275.7446
19.8013,3142,276.1841
19.4197,3147,276.6236
19.8013,3152,277.0631
19.4197,3157,277.5026
19.4197,3162,277.9421
19.8013,3167,278.3816
19.8013,3172,278.8211
19.4197,3177,279.2606
19.4197,3182,279.7001
19.4197,3187,280.1396
19.8013,3192,280.5791
19.8013,3197,281.0186
19.4197,3202,281.4581
19.4197,3207,281.8976
19.8013,3212,282.3371
19.8013,3217,282.7766
19.8013,3222,283.2161
19.4197,3227,283.6556
19.8013,3232,284.0951
19.4197,3236,284.4467
19.8013,3242,284.9741
19.8013,3247,285.4137
19.4197,3252,285.8532
19.4197,3257,286.2927
19.8013,3262,286.7322
19.8013,3267,287.1717
19.8013,3274,287.787
19.4197,3278,288.1386
19.4197,3283,288.5781
19.4197,3287,288.9297
19.4197,3291,289.2813
19.8013,3297,289.8087
19.4197,3302,290.2482
19.4197,3307,290.6877
19.8013,3312,291.1272
19.2259,3317,291.5667
19.4197,3322,292.0062
19.4197,3327,292.4457
19.8013,3332,292.8852
19.8013,3337,293.3247
19.4197,3342,293.7642
19.4197,3347,294.2037
19.4197,3352,294.6432
19.8013,3357,295.0827
19.8013,3362,295.5222
19.8013,3367,295.9617
19.4197,3372,296.4012
19.596,3377,296.8407
19.4197,3382,297.2802
19.8013,3387,297.7198
19.8013,3392,298.1593
19.8013,3397,298.5988
19.2259,3402,299.0383
19.4197,3407,299.4778
19.4197,3412,299.9173
19.4197,3417,300.3568
19.8013,3421,300.7084
19.8013,3427,301.2358
19.8013,3432,301.6753
19.4197,3437,302.1148
19.8013,3442,302.5543
19.8013,3447,302.9938
19.4197,3452,303.4333
19.8013,3457,303.8728
19.4197,3462,304.3123
19.4197,3467,304.7518
19.4197,3471,305.1034
19.8013,3476,305.5429
19.8013,3483,306.1582
19.8013,3487,306.5098
19.8013,3492,306.9493
19.8013,3497,307.3888
19.8013,3502,307.8283
19.8013,3506,308.1799
19.4197,3512,308.7073
19.8013,3517,309.1468
19.8013,3522,309.5863
19.4197,3526,309.938
19.8013,3532,310.4654
19.8013,3536,310.817
19.4197,3541,311.2565
19.8013,3547,311.7839
19.8013,3552,312.2234
19.8013,3557,312.6629
19.8013,3562,313.1024
19.8013,3567,313.5419
19.8013,3572,313.9814
19.8013,3577,314.4209
19.4197,3582,314.8604
19.4197,3586,315.212
19.4197,3592,315.7394
19.8013,3597,316.1789
19.8013,3602,316.6184
19.8013,3607,317.0579
19.8013,3612,317.4974
19.8013,3617,317.9369
19.4197,3622,318.3764
19.4197,3627,318.8159
19.8013,3632,319.2554
19.4197,3637,319.6949
19.8013,3642,320.1344
19.8013,3647,320.5739
19.8013,3652,321.0134
19.4197,3657,321.4529
19.8013,3662,321.8925
19.4197,3667,322.332
19.8013,3672,322.7715
19.4197,3677,323.211
19.8013,3682,323.6505
19.8013,3687,324.09
19.4197,3692,324.5295
19.4197,3697,324.969
19.8013,3702,325.4085
19.8013,3707,325.848
19.4197,3711,326.1996
19.8013,3717,326.727
19.4197,3721,327.0786
19.8013,3721,327.0786
19.4197,3720,326.9907
19.4197,3717,326.727
19.4197,3713,326.3754
19.8013,3708,325.9359
19.8013,3704,325.5843
19.8013,3699,325.1448
19.8013,3694,324.7053
19.8013,3689,324.2658
19.8013,3684,323.8263
19.4197,3679,323.3868
19.8013,3674,322.9473
19.4197,3668,322.4199
19.8013,3664,322.0683
19.8013,3659,321.6287
19.4197,3654,321.1892
19.8013,3648,320.6618
19.8013,3643,320.2223
19.8013,3639,319.8707
19.4197,3634,319.4312
19.8013,3629,318.9917
19.4197,3624,318.5522
