angle,predicted_impedance,impedance
307.3888314374355,19.922176762391217,20.593970000000002
307.74043433298874,19.92899357017629,20.080779999999997
308.17993795243035,19.9391928030727,21.12122
308.6194415718719,19.951340752735604,20.56864
308.97104446742514,19.96252400415503,20.3203
309.32264736297844,19.97506150193837,20.593970000000002
309.6742502585317,19.98900232259072,20.86139
310.0258531540849,20.004396459260505,20.56864
310.4653567735265,20.02576051311732,20.32845
310.72905894519147,20.039749279616416,nan
311.0806618407447,20.059812597819445,21.4195
311.43226473629795,20.08153851586937,20.86139
311.7838676318512,20.104981719186952,19.58955
312.2233712512928,20.136785520566235,nan
312.66287487073436,20.171470409075454,20.32845
313.1023784901759,20.209149581283754,20.80009
313.4539813857292,20.24152640768986,20.080779999999997
313.89348500517076,20.28488824421035,nan
314.4208893485007,20.34132100925305,20.56864
314.94829369183054,20.402752673724507,nan
315.3877973112721,20.457920890896247,19.81928
315.651499482937,20.49281382760634,20.32845
316.09100310237864,20.55404589049246,nan
316.5305067218202,20.619239526813516,20.56864
316.9700103412618,20.688529884091594,nan
317.32161323681504,20.747004289898513,19.53877
317.58531540847997,20.79268165377104,20.32845
317.7611168562566,20.82401764259518,20.04167
318.11271975180983,20.888853517439173,nan
318.64012409513975,20.991656683521768,20.080779999999997
319.0796277145813,21.082575382968542,19.81928
319.43123061013455,21.158854517821936,nan
319.69493278179954,21.21818262694248,21.12122
320.0465356773528,21.300175413254664,20.32845
320.48603929679433,21.40742200861675,nan
321.10134436401256,21.566730758566308,19.81928
321.5408479834541,21.6872894404423,nan
321.5408479834541,nan,20.593970000000002
321.5408479834541,nan,20.32845
321.6287487073424,nan,20.86139
321.5408479834541,nan,20.080779999999997
321.6287487073424,nan,nan
321.5408479834541,nan,20.32845
321.5408479834541,nan,20.86139
321.6287487073424,nan,nan
321.6287487073424,nan,20.593970000000002
321.6287487073424,nan,20.080779999999997
321.6287487073424,nan,20.86139
321.71664943123073,nan,21.4195
321.80455015511905,nan,20.56864
321.5408479834541,nan,20.32845
321.10134436401256,nan,21.12122
320.92554291623594,nan,20.86139
320.66184074457095,nan,20.80009
320.3102378490177,nan,20.32845
319.87073422957616,nan,21.12122
319.43123061013455,nan,20.080779999999997
318.991726990693,nan,20.86139
318.55222337125144,nan,21.4195
318.11271975180983,nan,nan
317.6732161323683,nan,20.593970000000002
317.23371251292673,nan,20.56864
316.7942088934851,nan,nan
316.35470527404357,nan,19.81928
316.0031023784903,nan,20.32845
315.5635987590487,nan,21.4195
315.12409513960716,nan,20.593970000000002
314.7724922440539,nan,20.080779999999997
314.3329886246123,nan,20.56864
313.89348500517076,nan,20.86139
313.3660806618409,nan,nan
312.9265770423993,nan,21.4195
312.48707342295774,nan,nan
312.0475698035162,nan,21.12122
311.6080661840746,nan,20.080779999999997
311.168562564633,nan,20.86139
310.72905894519147,nan,nan
310.28955532574986,nan,21.12122
309.8500517063083,nan,20.32845
309.49844881075506,nan,20.86139
309.05894519131346,nan,19.81928
308.6194415718719,nan,20.56864
308.09203722854204,nan,21.12122
307.74043433298874,nan,20.32845
307.3009307135472,nan,nan
306.86142709410564,nan,nan
306.421923474664,nan,nan
305.9824198552225,nan,21.4195
305.5429162357809,nan,20.86139
305.1034126163393,nan,20.56864
