angle,predicted_impedance,impedance,Difference,
231.7063082,20.01334566,20.16752,0.764468525,0.154174343
231.9700103,20.01112338,19.88815,0.614525116,0.122973379
232.2337125,20.00891125,20.56929,2.724346577,0.560378748
233.2885212,20.0001707,nan,#VALUE!,#VALUE!
233.3764219,19.99945051,20.27314,1.350010372,0.273689493
233.7280248,19.99658297,nan,#VALUE!,#VALUE!
234.0796277,19.99373707,20.16752,0.861697066,0.173782928
234.5191313,19.99021109,20.56929,2.815259587,0.579078909
235.4860393,19.98258213,19.88815,0.47257223,0.094432134
235.6618407,19.98121467,nan,#VALUE!,#VALUE!
236.0134436,19.97849838,nan,#VALUE!,#VALUE!
236.2771458,19.97647774,20.16752,0.947276933,0.191042265
236.7166494,19.97314211,nan,#VALUE!,#VALUE!
237.2440538,19.96919342,nan,#VALUE!,#VALUE!
237.5956567,19.96659436,20.56929,2.93007509,0.602695643
238.4746639,19.96021625,19.88815,0.361049459,0.072066253
238.6504654,19.95896146,nan,#VALUE!,#VALUE!
239.0020683,19.95647302,nan,#VALUE!,#VALUE!
239.3536711,19.95401298,20.56929,2.991240927,0.615277021
240.3205791,19.94739636,20.27314,1.606774466,0.325743637
240.4963806,19.94621699,nan,#VALUE!,#VALUE!
240.7600827,19.94446168,20.16752,1.106027496,0.223058317
241.1995863,19.94157303,nan,#VALUE!,#VALUE!
241.5511892,19.93929544,nan,#VALUE!,#VALUE!
241.9906929,19.93649031,nan,#VALUE!,#VALUE!
242.4301965,19.93373184,20.44685,2.509521794,0.513118157
243.3971044,19.92782811,19.60937,1.598057279,0.318458108
243.5729059,19.9267791,20.16752,1.193706026,0.240740902
243.9245088,19.92470361,20.27314,1.71870955,0.348436393
244.2761117,19.92265813,nan,#VALUE!,#VALUE!
244.7156153,19.92014345,nan,#VALUE!,#VALUE!
245.0672182,19.91816537,19.88815,0.150693429,0.030015366
245.5067218,19.91573471,19.77741,0.694549849,0.138324705
245.9462254,19.91335047,20.16752,1.260291427,0.254169526
246.3857291,19.91101244,nan,#VALUE!,#VALUE!
246.8252327,19.90872034,20.56929,3.211436382,0.660569663
247.7921406,19.90383777,nan,#VALUE!,#VALUE!
247.9679421,19.90297344,20.16752,1.311745601,0.264546556
248.319545,19.90126618,20.27314,1.834317803,0.371873816
248.6711479,19.89958725,19.88815,0.057474817,0.011437251
249.0227508,19.8979364,nan,#VALUE!,#VALUE!
249.4622544,19.89591194,nan,#VALUE!,#VALUE!
249.901758,19.89393042,nan,#VALUE!,#VALUE!
250.3412616,19.89199127,20.16752,1.366200358,0.27552873
250.868666,19.88971937,20.27314,1.891274018,0.383420629
251.2202689,19.88823764,nan,#VALUE!,#VALUE!
251.6597725,19.88642187,nan,#VALUE!,#VALUE!
252.1871768,19.88429538,19.88815,0.01938148,0.003854618
252.6266805,19.88256616,20.16752,1.412934483,0.284953844
253.0661841,19.88087507,nan,#VALUE!,#VALUE!
253.417787,19.87954915,nan,#VALUE!,#VALUE!
253.8572906,19.87792473,nan,#VALUE!,#VALUE!
254.2967942,19.8763362,20.27314,1.957288302,0.396803798
254.7362978,19.8747827,19.60937,1.335424409,0.265412699
255.1758014,19.87326335,19.88815,0.074851878,0.014886654
255.7032058,19.87148393,nan,#VALUE!,#VALUE!
256.0548087,19.87032346,nan,#VALUE!,#VALUE!
256.582213,19.86862027,20.56929,3.406387524,0.700669728
257.4612203,19.8658775,19.60937,1.291196425,0.2565075
257.6370217,19.86534276,19.88815,0.114677546,0.022807242
257.9007239,19.86454897,19.77741,0.438665757,0.087138974
258.2523268,19.8635058,19.51374,1.760846274,0.349765802
258.6918304,19.86222553,20.16752,1.513792827,0.305294471
259.131334,19.8609706,19.88815,0.136661256,0.027179396
259.5708376,19.85973997,nan,#VALUE!,#VALUE!
260.0103413,19.85853255,19.77741,0.408502224,0.081122547
260.4498449,19.85734726,19.51374,1.730378444,0.343607256
260.8893485,19.856183,20.16752,1.54375451,0.311337
261.3288521,19.85503867,20.56929,3.472416048,0.714251327
262.3836608,19.85236691,nan,#VALUE!,#VALUE!
262.4715615,19.85214866,nan,#VALUE!,#VALUE!
262.7352637,19.85149771,19.88815,0.184292128,0.036652295
263.0868666,19.85063823,20.16752,1.57124808,0.316881771
263.5263702,19.84957667,20.27314,2.089283317,0.423563332
263.9658738,19.84852824,nan,#VALUE!,#VALUE!
264.4053775,19.8474918,19.88815,0.204434309,0.040658202
264.8448811,19.84646619,19.77741,0.347952052,0.069056186
265.2843847,19.84545025,nan,#VALUE!,#VALUE!
265.7238883,19.84444284,20.16752,1.601967713,0.323077159
266.1633919,19.8434428,19.88815,0.224793165,0.044707202
266.6028956,19.84244897,nan,#VALUE!,#VALUE!
267.0423992,19.84146021,nan,#VALUE!,#VALUE!
267.5698035,19.84027876,20.16752,1.622615155,0.327241236
268.0093071,19.83929711,19.88815,0.245638176,0.048852889
268.36091,19.83851286,nan,#VALUE!,#VALUE!
268.8004137,19.83753293,19.51374,1.632223757,0.323792925
269.2399173,19.83655237,nan,#VALUE!,#VALUE!
269.6794209,19.83557008,20.16752,1.64596302,0.331949921
270.1189245,19.83458494,nan,#VALUE!,#VALUE!
270.5584281,19.83359585,nan,#VALUE!,#VALUE!
270.9979317,19.83260173,19.88815,0.279303344,0.055548268
271.4374354,19.8316015,19.51374,1.602802991,0.317861502
271.876939,19.8305941,20.16752,1.670636255,0.336925901
272.3164426,19.82957847,nan,#VALUE!,#VALUE!
272.7559462,19.82855359,nan,#VALUE!,#VALUE!
273.1954498,19.82751843,nan,#VALUE!,#VALUE!
273.6349535,19.82647199,19.88815,0.310124441,0.061678014
274.0744571,19.82541328,nan,#VALUE!,#VALUE!
