angle,predicted_impedance,impedance,Difference,
234.3433299,19.99161723,nan,#VALUE!,#VALUE!
233.9038263,19.99515728,19.51374,2.407669364,0.481417276
233.5522234,19.99801407,nan,#VALUE!,#VALUE!
233.024819,20.00233902,nan,#VALUE!,#VALUE!
232.5853154,20.00597811,nan,#VALUE!,#VALUE!
232.1458118,20.00964748,19.51374,2.478341909,0.495907479
231.7063082,20.01334566,nan,#VALUE!,#VALUE!
231.1789038,20.01781931,19.77741,1.200976499,0.240409305
230.8273009,20.02082215,nan,#VALUE!,#VALUE!
230.3877973,20.02459715,19.51374,2.551148209,0.510857152
229.3329886,20.03374405,nan,#VALUE!,#VALUE!
229.1571872,20.03527912,nan,#VALUE!,#VALUE!
228.8055843,20.0383572,19.14973,4.434631,0.8886272
227.926577,20.04609249,19.51374,2.655642176,0.532352487
227.5749741,20.04919973,nan,#VALUE!,#VALUE!
227.3991727,20.05075559,nan,#VALUE!,#VALUE!
227.0475698,20.05387104,nan,#VALUE!,#VALUE!
226.6959669,20.05699045,19.14973,4.523412696,0.907260453
225.7290589,20.06557896,19.51374,2.750177124,0.551838962
225.377456,20.06870184,nan,#VALUE!,#VALUE!
225.2016546,20.07026252,19.77741,1.459136449,0.292852516
224.8500517,20.07338146,19.14973,4.601374518,0.923651459
224.0589452,20.08038074,nan,#VALUE!,#VALUE!
223.8831437,20.08193142,nan,#VALUE!,#VALUE!
223.6194416,20.08425337,19.51374,2.840600366,0.570513375
222.7404343,20.09195008,19.14973,4.689540211,0.942220078
222.3009307,20.09576782,nan,#VALUE!,#VALUE!
222.0372285,20.09804679,nan,#VALUE!,#VALUE!
221.7735264,20.10031611,19.51374,2.918243195,0.586576107
220.9824199,20.10705871,19.77741,1.639467571,0.329648707
220.8066184,20.1085423,19.14973,4.768183995,0.958812295
220.1034126,20.11441556,nan,#VALUE!,#VALUE!
219.9276112,20.11586741,nan,#VALUE!,#VALUE!
219.5760083,20.11874963,19.51374,3.007193,0.605009631
218.7849018,20.12512072,19.14973,4.846632908,0.975390724
218.3453981,20.1285853,19.39874,3.625914527,0.729845298
217.9937952,20.13131485,nan,#VALUE!,#VALUE!
217.8179938,20.13266484,19.51374,3.074232066,0.618924838
217.114788,20.13795976,nan,#VALUE!,#VALUE!
216.9389866,20.13925582,nan,#VALUE!,#VALUE!
216.6752844,20.14117797,nan,#VALUE!,#VALUE!
216.3236815,20.14369838,19.77741,1.818377005,0.366288379
215.8841779,20.14677727,nan,#VALUE!,#VALUE!
215.532575,20.14918014,19.14973,4.960252136,0.999450138
214.4777663,20.15604116,19.51374,3.186643436,0.642301163
213.9503619,20.15926025,nan,#VALUE!,#VALUE!
213.7745605,20.16029976,19.77741,1.899226515,0.382889759
213.4229576,20.16232646,19.88815,1.359845366,0.274176462
213.1592554,20.16379936,19.14973,5.029158171,1.014069363
212.2802482,20.16840116,nan,#VALUE!,#VALUE!
212.1044467,20.16926201,19.51374,3.250104073,0.655522006
211.5770424,20.17171893,nan,#VALUE!,#VALUE!
211.5770424,nan,19.14973,#VALUE!,#VALUE!
211.5770424,nan,nan,#VALUE!,#VALUE!
