angle,predicted_impedance,impedance,Error
292.5336091,20.05319583,21.07559,4.851082072
290.8634953,20.06100757,21.07559,4.814016726
215.7083764,20.4404667,21.46779,4.785417126
289.1054809,20.0688113,21.07559,4.77698938
288.6659772,20.07069211,21.07559,4.768065267
286.9958635,20.07757707,21.07559,4.735397343
285.4136505,20.0837138,21.07559,4.706279629
284.9741468,20.08535201,21.07559,4.6985066
282.8645295,20.09282107,21.07559,4.663067207
281.0186143,20.09884107,21.07559,4.634503399
280.4033092,20.10074663,21.07559,4.62546184
231.7063082,20.30582678,21.28929,4.619520998
278.9089969,20.10517743,21.07559,4.604438451
278.3815926,20.10667811,21.07559,4.597317977
231.0031024,20.31179988,21.28929,4.591464158
276.7993795,20.11099921,21.07559,4.576815134
275.9203723,20.1132924,21.07559,4.565934323
274.0744571,20.1178944,21.07559,4.544098654
272.6680455,20.12124048,21.07559,4.528222096
211.401241,20.46497592,19.53836,4.527813371
272.4922441,20.12165081,21.07559,4.526275142
270.1189245,20.12706606,21.07559,4.500580723
269.1520165,20.12922971,21.07559,4.490314593
267.5698035,20.13275988,21.07559,4.473564513
214.4777663,20.44852228,19.53836,4.450992942
265.2843847,20.13793137,21.07559,4.449026703
264.9327818,20.13874338,21.07559,4.445173857
262.8231644,20.14376307,21.07559,4.421356327
260.7135471,20.14912737,21.07559,4.395903649
256.8459152,20.16026622,21.07559,4.343051729
256.4943123,20.16138219,21.07559,4.337756666
255.1758014,20.16574447,21.07559,4.317058422
252.1871768,20.1767765,21.07559,4.264713334
251.0444674,20.18145637,21.07559,4.242508185
221.0703206,20.39879591,19.53836,4.218072033
248.4074457,20.19332493,21.07559,4.186193957
248.319545,20.1937473,21.07559,4.18418984
220.0155119,20.40762348,21.28929,4.141361797
246.2099276,20.20442325,21.07559,4.133534346
246.1220269,20.20489085,21.07559,4.131315645
244.5398139,20.21362483,21.07559,4.089874444
224.2347466,20.37130925,19.53836,4.088835155
242.9576008,20.2229646,21.07559,4.045558847
242.254395,20.22731074,21.07559,4.024937199
241.1116856,20.23462819,21.07559,3.990217177
303.1695967,19.99758453,20.81729,3.937618555
238.4746639,20.25269737,21.07559,3.90448204
236.7166494,20.26562324,21.07559,3.84315108
295.5222337,20.03835788,20.81729,3.74175562
294.2037229,20.04502843,20.81729,3.709712303
231.2668046,20.30955221,21.07559,3.634715751
230.1240951,20.31935403,21.07559,3.588207844
229.5087901,20.32469291,21.07559,3.562875749
317.4974147,19.94526846,20.67923,3.549269217
316.8821096,19.94564582,20.67923,3.547444374
319.6949328,19.94625448,20.67923,3.544501018
315.5635988,19.94730213,20.67923,3.53943485
320.57394,19.94778529,20.67923,3.537098398
315.0361944,19.94826354,20.67923,3.534785666
313.2781799,19.95255957,20.67923,3.514011063
313.2781799,19.95255957,20.67923,3.514011063
323.0351603,19.95608904,20.67923,3.496943347
311.4322647,19.95862523,20.67923,3.484678904
323.9141675,19.96065335,20.67923,3.474871411
227.2233713,20.34479386,21.07559,3.467500264
280.8428128,20.09939051,20.81729,3.448573218
309.1468459,19.96787284,20.67923,3.439959613
262.647363,20.14419519,20.85543,3.410309969
307.4767322,19.97555553,20.67923,3.402807904
307.1251293,19.97725122,20.67923,3.394607907
305.630817,19.98470033,20.67923,3.358585744
223.8831437,20.37441254,21.07559,3.326964801
304.0486039,19.99291827,20.67923,3.318845693
223.2678387,20.37982184,21.07559,3.301298595
268.4488108,20.13079799,20.81729,3.297701154
303.081696,19.99805402,20.67923,3.29401035
302.2905895,20.00229724,20.67923,3.273491153
221.3340228,20.39655597,21.07559,3.221898086
300.0051706,20.01463817,20.67923,3.213813209
299.7414685,20.01606097,20.67923,3.206932879
298.4229576,20.02314202,20.67923,3.172690551
297.5439504,20.02781679,20.67923,3.150084451
218.2574974,20.42175242,21.07559,3.102345334
225.5532575,20.35962172,19.72981,3.093435273
295.0827301,20.0406014,20.67923,3.088261019
249.2864529,20.18919766,20.81729,3.017166679
291.7425026,20.0569427,20.67923,3.009238261
215.3567735,20.44284176,21.07559,3.002280087
290.7755946,20.06140821,20.67923,2.987644094
289.1054809,20.0688113,20.67923,2.951844416
288.753878,20.07031823,20.67923,2.944557258
229.1571872,20.32776024,19.72981,2.941545123
286.9958635,20.07757707,20.67923,2.909455182
286.204757,20.08069237,20.67923,2.894390302
211.8407446,20.46299549,19.87163,2.889926291
285.4136505,20.0837138,20.67923,2.879779368
211.7528438,19.15123683,19.71823,2.875477026
284.0951396,20.08854275,20.67923,2.856427665
282.9524302,20.09252266,20.67923,2.837181753
281.4581179,20.09744964,20.67923,2.813356007
215.0051706,20.44515932,19.87163,2.805208372
278.1178904,20.10741674,20.67923,2.765157397
278.0299897,20.10766126,20.67923,2.763974985
275.5687694,20.11419017,20.67923,2.732402642
285.7652534,20.08238251,19.53836,2.708954006
273.3712513,20.11958238,20.67923,2.706327164
217.9937952,20.42379597,19.87163,2.703542325
271.7011375,20.12347911,20.67923,2.687483483
271.1737332,20.12468355,20.67923,2.681659066
268.8004137,20.13001405,20.67923,2.655882032
268.0093071,20.13177823,20.67923,2.647350835
219.7518097,20.4097933,19.87163,2.636789583
263.5263702,20.14205779,20.67923,2.597641261
263.262668,20.14269308,20.67923,2.594569159
261.7683557,20.14639428,20.67923,2.576670989
261.5925543,20.1468423,20.67923,2.574504469
259.7466391,20.1517354,20.67923,2.550842584
259.4829369,20.15246532,20.67923,2.547312814
222.3888314,20.38748727,19.87163,2.530264085
257.2854188,20.15889788,20.67923,2.516206446
256.9338159,20.15999022,20.67923,2.510924168
319.958635,19.94664077,20.4591,2.504798522
315.9152017,19.94675304,20.4591,2.504249751
