angle,predicted_impedance,impedance,,,,,
243.9245088,18.97451928,22.02314,3.04862072,,13.84280679,,
244.4519131,18.98027822,23.58118,4.600901777,,19.51090563,,
244.5398139,18.993357,23.58118,4.587822998,,19.45544285,,
245.1551189,18.9997106,21.26849,2.268779396,,10.66732709,,
245.770424,19.00594263,20.63662,1.630677366,,7.90186264,,
246.3857291,19.0015035,22.02314,3.021636497,,13.72028011,,
246.9131334,19.00594263,21.26849,2.262547366,,10.63802539,,
247.0010341,19.02058499,23.58118,4.560595011,,19.33997794,,
247.8800414,19.02559149,21.26849,2.242898515,,10.54564059,,
247.9679421,19.01634948,22.66158,3.645230522,,16.08550914,,
248.4953464,19.02142513,20.63662,1.615194872,,7.82683827,,
249.1106515,19.03934249,22.02314,2.983797509,,13.54846543,,
249.3743537,19.03051677,21.26849,2.23797323,,10.52248293,,
249.901758,19.03456062,20.4872,1.452639376,,7.090472957,,
250.3412616,19.03934249,22.66158,3.622237509,,15.98404661,,
250.4291624,19.04944919,23.58118,4.531730806,,19.21757438,,
251.0444674,19.05475439,22.66158,3.606825615,,15.91603769,,
251.3960703,19.04868368,23.58118,4.532496318,,19.22082066,,
252.0113754,19.05249205,21.26849,2.215997952,,10.41915976,,
252.3629783,19.05774509,22.72856,3.670814914,,16.15067085,,
252.450879,19.0665487,24.45339,5.386841296,,22.02901641,,
252.9782834,19.06070713,20.63662,1.575912871,,7.636487326,,
253.0661841,19.07157449,22.02314,2.951565511,,13.40211029,,
253.6814891,19.0765256,23.58118,4.504654401,,19.10275228,,
254.2967942,19.0814072,20.01185,0.930442802,,4.649459208,,
254.9120993,19.08759,21.26849,2.180900002,,10.25413653,,
255,19.07862592,22.02314,2.944514083,,13.37009202,,
255.6153051,19.0820992,21.26849,2.186390797,,10.2799531,,
256.0548087,19.0869079,20.63662,1.549712102,,7.509524825,,
256.3185109,19.09702458,22.72856,3.631535424,,15.97785088,,
256.9338159,19.10299046,22.02314,2.920149542,,13.25946047,,
257.1096174,19.09434963,22.02314,2.928790371,,13.2986957,,
257.6370217,19.0983564,22.66158,3.563223602,,15.72363269,,
257.7249224,19.1075866,21.26849,2.1609034,,10.16011668,,
258.0765253,19.10233091,21.26849,2.166159088,,10.18482783,,
258.3402275,19.11215092,23.58118,4.469029079,,18.95167705,,
258.6039297,19.10562108,20.63662,1.530998921,,7.418845338,,
258.9555326,19.11733628,20.01185,0.894513716,,4.46992015,,
259.6587384,19.12185342,22.02314,2.901286576,,13.1738098,,
260.1861427,19.11733628,22.02314,2.905803716,,13.19432068,,
260.2740434,19.12700153,22.66158,3.534578473,,15.59722876,,
260.6256463,19.121209,21.26849,2.147280995,,10.09606698,,
261.5046536,19.13471541,23.58118,4.44646459,,18.8559885,,
261.9441572,19.13085811,20.63662,1.50576189,,7.296552877,,
262.4715615,19.1340723,20.01185,0.877777699,,4.386289616,,
262.7352637,19.14503666,22.66158,3.516543342,,15.51764415,,
262.9989659,19.13793337,22.02314,2.885206634,,13.10079595,,
263.4384695,19.14180277,21.26849,2.126687232,,9.999239403,,
263.4384695,19.15023504,22.02314,2.872904956,,13.04493799,,
263.9658738,19.14503666,20.63662,1.491583342,,7.227847111,,
264.1416753,19.15547191,21.26849,2.113018087,,9.934969935,,
264.8448811,19.16075728,23.58118,4.420422725,,18.74555355,,
265.6359876,19.15678832,22.02314,2.866351684,,13.01518169,,
266.0754912,19.16142185,20.01185,0.850428146,,4.249622828,,
266.1633919,19.17015345,22.02314,2.852986549,,12.9544949,,
266.6028956,19.16475914,21.26849,2.103730856,,9.891303312,,
266.778697,19.17562373,21.21359,2.037966272,,9.606890073,,
267.1302999,19.16879814,20.63662,1.467821859,,7.112704791,,
268.1851086,19.18683179,22.66158,3.474748214,,15.33321249,,
268.8883144,19.1911394,21.26849,2.077350599,,9.767268851,,
269.2399173,19.1854093,20.01185,0.826440698,,4.129756608,,
270.1189245,19.20219469,22.02314,2.820945311,,12.80900594,,
270.2068252,19.19404612,21.21359,2.019543876,,9.520047647,,
270.7342296,19.19772099,20.63662,1.438899013,,6.972551771,,
271.2616339,19.20219469,21.26849,2.066295311,,9.715289196,,
271.5253361,19.21370871,23.58118,4.367471287,,18.52100398,,
272.3164426,19.21136627,19.39864,0.187273729,,0.965396175,,
272.7559462,19.21607193,20.01185,0.795778067,,3.976534239,,
272.7559462,19.22656413,21.26849,2.041925871,,9.600709174,,
273.459152,19.23239226,22.72856,3.496167735,,15.38226678,,
273.8986556,19.22410545,20.63662,1.41251455,,6.844699133,,
275.2171665,19.23071383,19.39864,0.16792617,,0.865659498,,
275.3050672,19.25069236,23.58118,4.330487644,,18.36416856,,
