angle,impedance,predicted_impedance,difference,,,,,
218.6091003,18.13675,17.97197199,0.164778009,,0.908531069,,,
297.8955533,18.91438,18.74073454,0.173645461,,0.91806055,,,
287.0837642,18.78102,18.60623584,0.174784158,,0.930642522,,,
285.6773526,18.4163,18.59215402,0.175854025,,0.945850732,,,
289.6328852,18.4573,18.63356536,0.176265358,,0.945956152,,,
236.2771458,18.4163,18.23045367,0.185846332,,1.009140445,,,
239.9689762,18.4573,18.2673486,0.189951399,,1.029139685,,,
217.3784902,18.13675,17.94767792,0.189072083,,1.042480505,,,
235.4860393,18.4163,18.22191938,0.194380625,,1.055481419,,,
283.3040331,18.78102,18.56986362,0.211156377,,1.124307292,,,
283.3040331,18.78102,18.56986362,0.211156377,,1.124307292,,,
323.0351603,19.09196,19.3128757,0.220915698,,1.143877802,,,
282.5129266,18.78102,18.5628174,0.218202595,,1.16182505,,,
232.7611169,18.4163,18.19066298,0.225637021,,1.225202788,,,
304.8397104,19.09196,18.85720342,0.234756579,,1.229609631,,,
252.6266805,18.13675,18.36557436,0.228824359,,1.245941754,,,
279.0847983,18.78102,18.53427649,0.24674351,,1.313791847,,,
254.9120993,18.13675,18.38014909,0.243399091,,1.324249818,,,
255,18.13675,18.38069777,0.243947767,,1.327195353,,,
278.2936918,18.78102,18.52811043,0.25290957,,1.346623185,,,
319.2554292,19.46696,19.19754042,0.269419583,,1.383983853,,,
214.3019648,18.13675,17.88267008,0.25407992,,1.400912069,,,
257.8128232,18.13675,18.39789039,0.261140387,,1.419403973,,,
258.3402275,18.13675,18.40104948,0.264299477,,1.436328279,,,
210.2585315,17.53099,17.78737998,0.256389978,,1.441415083,,,
275.4808687,18.78102,18.50729457,0.273725427,,1.457457728,,,
314.2450879,18.78102,19.06234787,0.281327872,,1.475830124,,,
223.0041365,17.78307,18.05127305,0.268203054,,1.485784704,,,
223.0041365,17.78307,18.05127305,0.268203054,,1.485784704,,,
261.1530507,18.13675,18.41769053,0.280940526,,1.525384119,,,
261.5925543,18.13675,18.42027191,0.283521908,,1.539184163,,,
262.0320579,18.13675,18.42285159,0.286101586,,1.552971237,,,
272.6680455,18.78102,18.48796802,0.293051977,,1.560362416,,,
